"redshift","g.r","g.r_err","fracdeV","type"
0.0692,0.564,0.019,0.11,0
0.0351,0.552,0.016,0.1,0
0.0835,0.528,0.026,0.03,0
0.0641,0.579,0.023,0,0
0.0415,0.584,0.016,0.24,0
0.0395,0.515,0.019,0,0
0.042,0.47,0.016,0.34,0
0.0567,0.595,0.017,0.32,0
0.0427,0.663,0.015,0.47,0
0.0565,0.56,0.017,0.15,0
0.0566,0.541,0.017,0.39,0
0.0577,0.317,0.019,0.16,0
0.0554,0.414,0.016,0,0
0.0592,0.557,0.016,0.13,0
0.0825,0.608,0.034,0.32,0
0.0539,0.493,0.02,0.32,0
0.07,0.467,0.023,0,0
0.0846,0.56,0.019,0.27,0
0.0597,0.63,0.016,0.04,0
0.0388,0.596,0.017,0.11,0
0.0697,0.52,0.018,0,0
0.0558,0.427,0.022,0.16,0
0.0386,0.441,0.016,0.16,0
0.0559,0.497,0.015,0.09,0
0.0422,0.537,0.017,0.09,0
0.0792,0.51,0.024,0.01,0
0.0589,0.623,0.017,0.17,0
0.0761,0.478,0.024,0,0
0.0515,0.558,0.016,0.03,0
0.0519,0.523,0.017,0.11,0
0.0602,0.567,0.02,0.46,0
0.0757,0.585,0.019,0.42,0
0.0529,0.559,0.016,0.44,0
0.0443,0.589,0.018,0.46,0
0.0438,0.566,0.015,0.38,0
0.0715,0.5,0.019,0,0
0.0453,0.567,0.015,0.19,0
0.0433,0.499,1.685,0.14,0
0.0831,0.509,0.023,0.05,0
0.0823,0.513,0.017,0,0
0.0808,0.608,0.022,0.37,0
0.0451,0.345,0.019,0.26,0
0.0493,0.431,0.018,0.24,0
0.0493,0.536,0.017,0,0
0.0429,0.49,0.017,0.16,0
0.043,0.567,0.027,0.42,0
0.0488,0.515,0.016,0,0
0.0608,0.421,0.021,0,0
0.0765,0.567,0.018,0.21,0
0.0786,0.637,0.03,0.04,0
0.0601,0.401,0.023,0.24,0
0.0776,0.474,0.019,0.05,0
0.0424,0.606,0.015,0.25,0
0.0619,0.519,0.016,0.47,0
0.0609,0.579,0.016,0.43,0
0.0422,0.433,0.023,0.11,0
0.0621,0.631,0.016,0.11,0
0.0684,0.469,0.018,0.08,0
0.0539,0.356,0.021,0.04,0
0.0404,0.447,0.015,0.13,0
0.0833,0.446,0.017,0,0
0.0693,0.501,0.025,0,0
0.0425,0.498,0.017,0.02,0
0.0695,0.589,0.016,0.35,0
0.0328,0.416,0.017,0,0
0.0722,0.546,0.02,0.03,0
0.0737,0.411,0.02,0.03,0
0.0677,0.618,0.017,0.01,0
0.0403,0.432,0.017,0.15,0
0.0543,0.52,0.02,0.05,0
0.0716,0.42,0.017,0.37,0
0.0593,0.368,0.029,0.19,0
0.0467,0.635,0.016,0.27,0
0.0707,0.587,0.021,0.23,0
0.0487,0.542,0.017,0.1,0
0.0613,0.503,0.018,0.07,0
0.0672,0.441,0.019,0.48,0
0.0494,0.417,0.019,0,0
0.0645,0.466,0.024,0.04,0
0.076,0.629,0.02,0.36,0
0.0768,0.307,0.027,0.22,0
0.0385,0.406,1.416,0.13,0
0.0728,0.517,0.017,0.17,0
0.0466,0.545,0.018,0.29,0
0.0753,0.462,0.024,0.06,0
0.0428,0.504,0.018,0.04,0
0.0754,0.615,0.018,0.13,0
0.0433,0.459,0.016,0.2,0
0.0458,0.517,0.015,0.2,0
0.0439,0.478,0.017,0,0
0.0747,0.596,0.019,0.22,0
0.0336,0.575,0.017,0,0
0.0576,0.493,0.023,0.17,0
0.0588,0.512,0.024,0,0
0.0435,0.565,0.34,0.17,0
0.058,0.417,0.029,0.19,0
0.0646,0.608,0.016,0.42,0
0.0387,0.479,0.02,0.14,0
0.0313,0.553,0.017,0.15,0
0.0436,0.551,0.016,0.34,0
0.0775,0.57,0.021,0.35,0
0.0429,0.507,0.016,0.04,0
0.0627,0.505,0.017,0.42,0
0.0386,0.643,0.016,0.47,0
0.032,0.567,0.016,0.11,0
0.0416,0.483,0.02,0.08,0
0.0348,0.632,0.08,0.3,0
0.0413,0.568,0.016,0.02,0
0.0353,0.488,0.018,0.05,0
0.0357,0.561,0.017,0.25,0
0.037,0.565,0.015,0.1,0
0.0676,0.435,0.018,0.39,0
0.0407,0.584,0.019,0,0
0.0348,0.503,0.016,0.41,0
0.067,0.599,0.016,0.32,0
0.0516,0.592,0.018,0.17,0
0.0671,0.412,0.028,0.08,0
0.0306,0.513,0.015,0.29,0
0.0555,0.557,0.017,0.25,0
0.0342,0.489,0.015,0.3,0
0.0531,0.655,0.016,0.24,0
0.0362,0.576,0.017,0,0
0.0507,0.582,0.016,0.08,0
0.0715,0.535,0.019,0,0
0.0507,0.476,0.023,0.13,0
0.0406,0.608,0.015,0.21,0
0.0431,0.492,0.02,0,0
0.0658,0.509,0.016,0.27,0
0.0686,0.5,0.021,0.16,0
0.0679,0.572,0.017,0.29,0
0.0378,0.385,0.023,0.04,0
0.0399,0.656,0.016,0.35,0
0.0434,0.552,0.017,0,0
0.0789,0.529,0.026,0,0
0.0719,0.36,0.031,0.01,0
0.0601,0.559,0.02,0,0
0.0785,0.62,0.04,0.12,0
0.0559,0.605,0.018,0.06,0
0.0844,0.604,0.023,0.02,0
0.0432,0.538,0.022,0,0
0.0706,0.577,0.022,0,0
0.083,0.625,0.02,0.04,0
0.0527,0.608,0.018,0.1,0
0.0699,0.559,0.017,0.1,0
0.0829,0.631,0.022,0.02,0
0.0712,0.511,0.023,0,0
0.0611,0.539,0.023,0.06,0
0.0695,0.599,0.018,0.2,0
0.0662,0.563,0.016,0.25,0
0.0615,0.351,0.023,0.22,0
0.0819,0.471,0.02,0.02,0
0.0601,0.47,0.017,0.07,0
0.0816,0.41,0.025,0,0
0.0768,0.614,0.019,0.49,0
0.0677,0.555,0.05,0.13,0
0.0845,0.579,0.02,0.26,0
0.0774,0.285,0.021,0.19,0
0.0772,0.508,0.018,0.06,0
0.0752,0.426,0.038,0.28,0
0.0763,0.435,0.02,0.35,0
0.0745,0.483,0.035,0.41,0
0.0421,0.6,0.018,0.12,0
0.0741,0.65,0.018,0.46,0
0.0815,0.524,0.018,0.4,0
0.0683,0.554,0.03,0.15,0
0.0723,0.314,0.031,0.37,0
0.0307,0.568,0.016,0.31,0
0.0413,0.579,0.017,0,0
0.0453,0.609,0.019,0.19,0
0.0425,0.633,0.018,0,0
0.0711,0.48,0.019,0.02,0
0.0624,0.56,0.022,0.3,0
0.0692,0.495,0.018,0.16,0
0.0421,0.579,0.017,0,0
0.0448,0.439,0.022,0.25,0
0.0417,0.526,0.016,0.35,0
0.0683,0.347,0.044,0.1,0
0.0774,0.531,0.018,0.1,0
0.0623,0.498,0.03,0.01,0
0.0696,0.578,0.023,0.33,0
0.0441,0.538,0.018,0.2,0
0.0842,0.528,0.019,0.11,0
0.0528,0.405,0.016,0,0
0.0645,0.549,0.018,0.2,0
0.0383,0.608,0.015,0.31,0
0.0615,0.569,0.017,0.36,0
0.0313,0.508,0.016,0,0
0.0528,0.474,0.024,0.09,0
0.0616,0.623,0.016,0.15,0
0.0639,0.385,0.06,0.05,0
0.0458,0.585,0.071,0.12,0
0.061,0.466,0.017,0.46,0
0.077,0.367,0.02,0.12,0
0.0412,0.58,0.018,0,0
0.0606,0.573,0.016,0.17,0
0.0548,0.498,0.016,0.18,0
0.0672,0.527,0.018,0.4,0
0.0756,0.627,0.046,0.02,0
0.0599,0.49,0.019,0.3,0
0.0735,0.484,0.018,0.04,0
0.0497,0.549,0.02,0.32,0
0.072,0.496,0.03,0.26,0
0.0472,0.529,0.018,0,0
0.0563,0.283,0.018,0.02,0
0.0549,0.468,0.016,0.36,0
0.0506,0.453,0.02,0.03,0
0.0715,0.605,0.017,0.19,0
0.0501,0.565,0.017,0.48,0
0.0601,0.364,0.025,0,0
0.0796,0.622,0.018,0.06,0
0.0589,0.526,0.023,0.19,0
0.0573,0.381,1.732,0.29,0
0.0816,0.563,0.018,0.19,0
0.0627,0.566,0.018,0,0
0.065,0.447,0.023,0.19,0
0.0415,0.6,0.022,0.14,0
0.0683,0.449,0.021,0.3,0
0.0848,0.614,0.019,0.26,0
0.0744,0.614,0.018,0.13,0
0.0491,0.384,0.021,0.14,0
0.0623,0.396,0.02,0.06,0
0.0505,0.502,0.082,0.07,0
0.0757,0.584,0.021,0,0
0.0719,0.558,0.019,0.2,0
0.0709,0.505,0.017,0.13,0
0.0767,0.58,0.023,0.01,0
0.0601,0.434,0.016,0.16,0
0.0596,0.574,0.018,0,0
0.0465,0.529,0.015,0,0
0.0479,0.436,0.02,0.07,0
0.0457,0.652,0.015,0.45,0
0.0695,0.644,0.019,0.31,0
0.0477,0.616,0.02,0.08,0
0.0589,0.55,0.039,0.24,0
0.0755,0.593,0.018,0.02,0
0.0772,0.478,0.018,0,0
0.0631,0.656,0.015,0.28,0
0.0593,0.6,0.023,0.2,0
0.0349,0.562,0.015,0.11,0
0.0772,0.403,0.022,0.16,0
0.0606,0.495,0.021,0.34,0
0.0449,0.482,0.021,0.13,0
0.0483,0.559,0.017,0,0
0.0812,0.603,0.02,0.16,0
0.0703,0.584,0.016,0.4,0
0.0456,0.33,0.019,0.07,0
0.0772,0.588,0.018,0,0
0.0458,0.481,0.015,0.13,0
0.0616,0.557,0.017,0.21,0
0.0666,0.49,0.024,0,0
0.0802,0.422,0.02,0.09,0
0.074,0.601,0.027,0.21,0
0.0542,0.507,0.019,0.2,0
0.0676,0.433,0.034,0,0
0.0638,0.476,0.023,0.44,0
0.0475,0.61,0.229,0.43,0
0.0709,0.266,0.028,0.11,0
0.0538,0.621,0.021,0,0
0.0455,0.425,0.019,0.08,0
0.0619,0.447,0.025,0.31,0
0.06,0.492,0.018,0.01,0
0.0587,0.646,0.016,0.03,0
0.0616,0.511,0.015,0.31,0
0.0705,0.457,0.019,0.14,0
0.0505,0.398,0.019,0.29,0
0.06,0.66,0.015,0.45,0
0.0598,0.419,0.018,0.36,0
0.0596,0.629,0.019,0,0
0.0673,0.527,0.016,0,0
0.041,0.563,0.018,0,0
0.0317,0.481,0.02,0.1,0
0.0685,0.529,0.021,0.08,0
0.0734,0.545,0.02,0,0
0.0682,0.536,0.017,0.17,0
0.0533,0.622,0.019,0.07,0
0.0497,0.648,0.017,0.16,0
0.0734,0.502,0.027,0.36,0
0.0438,0.398,0.018,0.08,0
0.0587,0.646,0.017,0.25,0
0.0745,0.506,0.06,0,0
0.0608,0.599,0.019,0,0
0.046,0.649,0.016,0.26,0
0.0487,0.492,0.128,0.14,0
0.0817,0.574,0.018,0.21,0
0.0702,0.473,0.023,0,0
0.0373,0.529,0.041,0,0
0.0472,0.583,0.016,0.25,0
0.0735,0.604,0.016,0.28,0
0.067,0.443,0.022,0,0
0.0787,0.517,0.019,0,0
0.0537,0.443,0.017,0.21,0
0.0689,0.51,0.019,0.03,0
0.0719,0.482,0.017,0,0
0.0446,0.63,0.016,0.08,0
0.0372,0.613,0.02,0.13,0
