NSAID,RA,DEC,DISTANCE,DISTANCE_ERR,INCLINATION,V_W20I,V_W20I_ERR,R_EFF,R_EFF_ERR,M_HI,M_HI_ERR,M_STAR,M_STAR_ERR,SOURCE
74769,10:57:08.67,+14:55:30.23,143.937255859375,2.143744945526123,31,372.8957214355469,14.447729110717773,7.3779845,0.1098848,1.35094118E10,1.39961062E9,8.8153399E10,4.0603455E10,"           2"
74773,10:54:52.76,+14:25:26.17,144.09165954589844,2.143744945526123,62,189.5301055908203,65.08769226074219,6.147083,0.09145413,7.0034673E9,4.11489126E9,1.89871821E10,8.7454956E9,"           2"
74776,10:55:36.71,+14:14:04.11,144.68533325195312,2.143744945526123,83,207.4830322265625,45.297176361083984,3.7707608,0.055869862,9.0428692E9,3.26829952E9,1.8996566E10,8.7498179E9,"           2"
74781,10:59:35.64,+14:44:07.88,46.37037658691406,2.679940938949585,81,83.74119567871094,12.159637451171875,1.3992779,0.08087021,3.99279296E8,1.27370312E8,1.0317208E8,4.752106E7,"           2"
74846,11:05:00.59,+14:53:42.05,88.8913803100586,1.7148631811141968,56,142.6959686279297,3.0216422080993652,3.5121765,0.067755744,3.83291725E9,4.02523584E8,1.01803325E10,4.6890614E9,"           2"
74879,11:09:27.45,+15:16:48.92,145.1752471923828,2.143744945526123,50,160.54736328125,3.2533185482025146,6.524674,0.09634725,1.46875372E10,1.27281446E9,5.6136172E10,2.58563195E10,"           2"
74949,11:18:45.20,+15:10:14.29,89.98590850830078,1.680504560470581,55,186.07571411132812,9.773361206054688,4.822546,0.090062,3.61832346E9,4.71582432E8,1.39228846E10,6.4128809E9,"           2"
74953,11:22:05.97,+14:43:52.79,171.53213500976562,2.143744945526123,50,203.33168029785156,28.132740020751953,5.9924135,0.07489096,9.8358385E9,1.50854733E9,1.69007596E10,7.78449E9,"           2"
74959,11:24:51.16,+14:47:44.64,65.29937744140625,2.536945104598999,70,87.21224975585938,11.721526145935059,1.7987276,0.06988233,8.2380698E8,1.87841312E8,5.8821229E8,2.70930592E8,"           2"
74979,11:25:58.81,+15:30:15.87,120.79119110107422,2.143744945526123,52,141.20147705078125,3.7866907119750977,8.606266,0.15273994,1.11549235E10,1.01670003E9,7.7609943E9,3.57471411E9,"           2"
