"bpt","logM200","r_r200","zoo"
1,-0.912970258,0.854077394,"E"
1,-0.682481442,0.514453528,"E"
1,-0.791155729,0.809411831,"E"
0,-0.875136017,0.248274383,"E"
1,-0.875136017,1.507551478,"E"
1,-1.007469638,1.154374412,"E"
1,-1.007469638,1.383379442,"E"
1,-0.833335561,2.030276262,"E"
1,-0.833335561,-0.059800576,"E"
0,-1.514627807,-0.502801098,"E"
1,-1.126490572,0.916294287,"E"
1,-0.798639804,1.080037002,"E"
0,-0.688585964,1.560329394,"E"
0,-0.774359671,0.652069624,"E"
1,-0.749044874,0.117972368,"E"
1,-0.784016542,-0.135414156,"E"
0,-0.774152738,2.44086148,"E"
1,-0.585843755,1.268602055,"E"
1,-0.681929621,0.851028158,"E"
1,-0.746492701,2.12219093,"E"
1,-0.650027458,-0.613172195,"E"
1,-0.718211864,1.66633399,"E"
1,-0.704002468,-0.490834974,"E"
1,-0.626126702,2.291562874,"E"
1,-0.626126702,1.100835704,"E"
0,-0.694345598,1.940656864,"E"
1,-0.782223123,2.121702725,"E"
0,-0.672686616,0.82716624,"E"
0,-0.522694716,0.49786626,"E"
1,-0.499000894,0.134798798,"E"
0,-0.509864874,0.697305871,"E"
1,-0.61650432,1.747722956,"E"
1,-0.746492701,0.544081623,"E"
0,-0.595293693,-0.039745683,"E"
0,-0.511589315,0.682950187,"E"
1,-0.608020069,2.242162484,"E"
1,-0.412571899,1.75593817,"E"
0,-0.342145719,0.008468357,"E"
1,-0.359562575,1.255089974,"E"
0,-0.297862067,-0.05698854,"E"
1,-0.449302497,0.219516906,"E"
1,-0.264511374,0.235483563,"E"
1,-0.319486561,1.623326392,"E"
0,-0.324866817,0.315334275,"E"
0,-0.311726575,0.55103198,"E"
0,-0.369322913,0.441528602,"E"
1,-0.280962543,1.447379326,"E"
0,-0.269477765,1.119419839,"E"
1,-0.375806812,1.473213805,"E"
1,-0.297620646,0.150844037,"E"
1,-0.125590388,0.957116136,"E"
1,-0.118313246,0.540054557,"E"
0,-0.18539401,0.867729846,"E"
0,-0.025641773,0.461822616,"E"
0,-0.003293015,2.401765478,"E"
0,-0.044300228,1.168471549,"E"
0,-0.001947951,-0.941557823,"E"
0,0.071237336,0.665513499,"E"
0,-0.149353188,0.352130857,"E"
1,-0.058820023,-0.267353135,"E"
1,0.027746928,1.24965807,"E"
1,0.027746928,0.87862014,"E"
1,0.005777546,0.789792357,"E"
0,0.1682544,2.238783304,"E"
0,0.151630786,0.492748002,"E"
1,0.182084419,0.530880785,"E"
1,0.401743744,-0.023986706,"E"
0,0.367599807,1.08576498,"E"
1,0.508245235,2.299495387,"E"
0,0.55270133,1.76042205,"E"
0,0.422023173,0.261228559,"E"
1,0.609538913,0.377926473,"E"
0,0.609538913,0.410589908,"E"
1,0.714350452,0.199916188,"E"
1,0.828922328,0.004855958,"E"
1,0.828922328,0.858446061,"E"
1,0.772050256,0.189677487,"E"
0,0.839234486,0.074889069,"E"
1,0.774740384,2.188916836,"E"
0,0.87817237,-0.245099078,"E"
1,0.921766244,0.228978513,"E"
0,0.809608586,-0.429770869,"E"
0,0.924663306,0.108546737,"E"
0,1.045719081,0.006751294,"E"
0,1.010850879,-0.594260102,"E"
0,1.097762717,1.084560856,"E"
1,1.075138048,2.2002795,"E"
1,1.156704119,2.177221357,"E"
0,1.270413774,-0.203605407,"E"
0,1.580675242,1.653754838,"E"
1,1.572673835,1.229685545,"E"
1,1.63561594,2.272618401,"E"
0,1.546289884,0.210072909,"E"
1,1.615474466,1.24906599,"E"
0,1.624027695,-0.126427408,"E"
1,1.734150513,-0.286488398,"E"
0,1.78822899,0.158959283,"E"
0,1.904076952,1.566140789,"E"
1,2.073830948,0.330253414,"E"
1,-0.092584582,-0.9660219037,"S"
1,-0.855166988,-0.863874027,"S"
1,-0.736559919,-0.7622767419,"S"
1,-0.296827403,-0.9816862433,"S"
0,-0.257199743,-0.478491688,"S"
0,-0.257199743,-0.7324893328,"S"
0,-0.239955331,-0.8964703385,"S"
1,0.766807954,-0.6080383986,"S"
1,-0.120382575,-0.8386544794,"S"
1,0.952668231,-0.9288535359,"S"
0,0.783500546,-0.8603077468,"S"
0,0.783500546,-0.6661232179,"S"
0,-0.694345598,-0.8251956442,"S"
0,-0.548009514,-0.8628640977,"S"
0,-0.548009514,-0.7766678468,"S"
0,1.367948171,-0.9370190869,"S"
0,1.367948171,-0.8544580375,"S"
0,-0.387050168,-0.6782006448,"S"
0,-1.247822258,-0.7210499125,"S"
0,-1.247822258,-0.9232272197,"S"
0,-0.418366021,-0.6503027001,"S"
1,-0.136764767,-0.4953553918,"S"
1,-0.136764767,-0.95395382,"S"
0,0.707245754,-0.6197186589,"S"
0,-1.143148675,-0.8651395599,"S"
0,-0.729765621,-0.7694967438,"S"
0,0.158390596,-0.5640814788,"S"
0,0.158390596,-0.5635488024,"S"
0,-0.419366197,-0.5591758799,"S"
1,-0.419366197,-0.3877349663,"S"
1,0.357218671,-0.600598002,"S"
0,1.110178694,-0.6548861674,"S"
0,0.225885226,-0.6787097975,"S"
0,0.225885226,-0.771947686,"S"
0,1.615474466,-0.4528085181,"S"
1,1.615474466,-0.8569291123,"S"
1,1.615474466,-0.7283520673,"S"
0,1.615474466,-0.6901654396,"S"
0,1.615474466,-0.4898621543,"S"
1,-0.733076548,-0.8375789684,"S"
1,2.469831635,-0.5834730979,"S"
1,-0.036643708,-0.8538823318,"S"
0,-1.587433716,-0.8208641807,"S"
0,-1.587433716,-0.8354474653,"S"
1,-0.75414922,-0.8598443966,"S"
1,0.401743744,-0.8780668843,"S"
1,0.401743744,-0.8662933771,"S"
1,0.401743744,-0.7487874301,"S"
1,0.005225725,-0.934194996,"S"
1,-1.138078818,-0.7324660967,"S"
