"name","zcmb","zhel","dz","mb","dmb","x1","dx1","color","dcolor","X3rdvar","d3rdvar","tmax","dtmax","cov_m_s","cov_m_c","cov_s_c","set","ra","dec","biascor"
"SDSS17801",0.20515,0.2064,0,21.18231,0.131465,-0.677573,0.479734,-0.017143,0.054168,11.251,0.0065,54365.722455,0.329793,0.026611,0.002937,0.010669,2,-43.906799,-0.898024,-0.000898
"SDSS17809",0.28051,0.282,0,21.478247,0.122739,1.5228,0.426695,0.030003,0.041139,9.919,0.288,54370.574868,0.318607,0.018013,0.0014,0.003972,2,6.364582,-0.839571,-0.000263
"SDSS17811",0.19867,0.2,0,20.49004,0.114249,1.031546,0.297419,-0.097533,0.026766,5,10,54355.288427,0.273044,0.005667,0.000554,0.000459,2,12.878674,-0.947399,-0.000951
"SDSS17825",0.15999,0.161,0,20.410888,0.113136,-0.149097,0.157928,0.006164,0.026663,5,10,54367.017701,0.15653,0.001721,0.00062,0.000411,2,32.947124,-0.912429,-0.001191
"SDSS17875",0.21075,0.212,0,21.022641,0.116152,1.120316,0.320101,-0.030671,0.03845,10.533,0.228,54362.45558,0.40222,0.005261,0.000913,-0.000589,2,20.983381,1.254994,-0.000851
"SDSS17880",0.07195,0.07267,0,18.984126,0.112772,-0.923587,0.108898,0.181137,0.02598,10.07,0.2365,54363.270767,0.157028,0.000753,0.000536,-6.8e-05,2,44.972374,1.160707,-0.000793
"SDSS17884",0.23782,0.239,0,20.859375,0.116252,0.664166,0.28044,-0.124117,0.03674,10.134,0.3855,54369.032977,0.270993,0.006059,0.000897,0.000898,2,27.599838,1.172075,-0.000611
"SDSS1794",0.14139,0.1426,0,20.083504,0.113002,1.153668,0.317399,0.030808,0.025736,9.7,0.596,53624.72013,0.552737,0.000467,0.000618,0.000402,2,-42.163181,-0.445333,-0.00124
"SDSS18030",0.15506,0.15641,0,20.385861,0.118308,-0.605778,0.244877,-0.052008,0.033517,9.701,0.1585,54373.102721,0.201422,0.007663,0.001206,0.002786,2,4.932975,-0.400135,-0.001209
"SDSS18091",0.37013,0.3715,0,21.893176,0.138604,-0.647918,0.649742,-0.195436,0.063142,11.162,0.2285,54372.177208,0.582745,0.042947,0.001873,0.015513,2,23.367535,0.524681,-0.000264
